iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,RelevantBeer,Close
DNK,Denmark,2020-01-02,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,984.400024
DNK,Denmark,2020-01-03,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,989.799988
DNK,Denmark,2020-01-06,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1001.0
DNK,Denmark,2020-01-07,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1002.0
DNK,Denmark,2020-01-08,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,993.0
DNK,Denmark,2020-01-09,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1000.0
DNK,Denmark,2020-01-10,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,997.799988
DNK,Denmark,2020-01-13,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1006.0
DNK,Denmark,2020-01-14,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1014.0
DNK,Denmark,2020-01-15,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1024.5
DNK,Denmark,2020-01-16,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1028.5
DNK,Denmark,2020-01-17,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1048.5
DNK,Denmark,2020-01-20,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1050.5
DNK,Denmark,2020-01-21,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1057.0
DNK,Denmark,2020-01-22,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1044.5
DNK,Denmark,2020-01-23,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1046.0
DNK,Denmark,2020-01-24,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1038.5
DNK,Denmark,2020-01-27,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,991.200012
DNK,Denmark,2020-01-28,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,993.799988
DNK,Denmark,2020-01-29,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1001.0
DNK,Denmark,2020-01-30,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,985.200012
DNK,Denmark,2020-01-31,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,986.400024
DNK,Denmark,2020-02-03,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,974.0
DNK,Denmark,2020-02-04,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1002.0
DNK,Denmark,2020-02-05,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1004.5
DNK,Denmark,2020-02-06,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1003.0
DNK,Denmark,2020-02-07,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1002.5
DNK,Denmark,2020-02-10,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1002.5
DNK,Denmark,2020-02-11,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1008.0
DNK,Denmark,2020-02-12,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1009.0
DNK,Denmark,2020-02-13,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1016.0
DNK,Denmark,2020-02-14,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1025.5
DNK,Denmark,2020-02-17,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1016.0
DNK,Denmark,2020-02-18,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1017.0
DNK,Denmark,2020-02-19,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1021.5
DNK,Denmark,2020-02-20,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1027.5
DNK,Denmark,2020-02-21,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,1010.0
DNK,Denmark,2020-02-24,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,968.0
DNK,Denmark,2020-02-25,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,945.400024
DNK,Denmark,2020-02-26,0,0,0,0,0.0,0.0,0.0,0.0,Carlsberg,940.799988
DNK,Denmark,2020-02-27,1,1,0,0,0.173,0.173,0.0,0.0,Carlsberg,917.599976
DNK,Denmark,2020-02-28,1,0,0,0,0.173,0.0,0.0,0.0,Carlsberg,887.599976
DNK,Denmark,2020-03-02,4,1,0,0,0.691,0.173,0.0,0.0,Carlsberg,887.799988
DNK,Denmark,2020-03-03,5,1,0,0,0.863,0.173,0.0,0.0,Carlsberg,912.799988
DNK,Denmark,2020-03-04,8,3,0,0,1.381,0.518,0.0,0.0,Carlsberg,917.400024
DNK,Denmark,2020-03-05,10,2,0,0,1.726,0.345,0.0,0.0,Carlsberg,920.599976
DNK,Denmark,2020-03-06,20,10,0,0,3.453,1.726,0.0,0.0,Carlsberg,892.200012
DNK,Denmark,2020-03-09,38,7,0,0,6.561,1.209,0.0,0.0,Carlsberg,828.599976
DNK,Denmark,2020-03-10,113,75,0,0,19.509,12.948,0.0,0.0,Carlsberg,799.599976
DNK,Denmark,2020-03-11,264,151,0,0,45.579,26.07,0.0,0.0,Carlsberg,784.400024
DNK,Denmark,2020-03-12,516,252,0,0,89.085,43.507,0.0,0.0,Carlsberg,715.599976
DNK,Denmark,2020-03-13,676,160,0,0,116.709,27.623,0.0,0.0,Carlsberg,745.0
DNK,Denmark,2020-03-16,875,48,1,1,151.065,8.287,0.173,0.173,Carlsberg,736.400024
DNK,Denmark,2020-03-17,932,57,1,0,160.906,9.841,0.173,0.0,Carlsberg,710.0
DNK,Denmark,2020-03-18,1024,92,4,3,176.789,15.883,0.691,0.518,Carlsberg,663.599976
DNK,Denmark,2020-03-19,1115,91,4,0,192.5,15.711,0.691,0.0,Carlsberg,677.400024
DNK,Denmark,2020-03-20,1151,36,6,2,198.715,6.215,1.036,0.345,Carlsberg,707.799988
DNK,Denmark,2020-03-23,1395,69,13,0,240.841,11.913,2.244,0.0,Carlsberg,697.0
DNK,Denmark,2020-03-24,1460,65,24,11,252.063,11.222,4.144,1.899,Carlsberg,692.799988
DNK,Denmark,2020-03-25,1591,131,32,8,274.68,22.617,5.525,1.381,Carlsberg,710.799988
DNK,Denmark,2020-03-26,1724,133,34,2,297.642,22.962,5.87,0.345,Carlsberg,739.200012
DNK,Denmark,2020-03-27,1877,153,41,7,324.056,26.415,7.078,1.209,Carlsberg,718.799988
DNK,Denmark,2020-03-30,2395,194,72,7,413.487,33.493,12.431,1.209,Carlsberg,753.0
DNK,Denmark,2020-03-31,2577,182,77,5,444.908,31.422,13.294,0.863,Carlsberg,769.799988
DNK,Denmark,2020-04-01,2860,283,90,13,493.767,48.859,15.538,2.244,Carlsberg,765.799988
DNK,Denmark,2020-04-02,3107,247,104,14,536.411,42.644,17.955,2.417,Carlsberg,751.0
DNK,Denmark,2020-04-03,3386,279,123,19,584.579,48.168,21.235,3.28,Carlsberg,785.0
DNK,Denmark,2020-04-06,4369,292,179,18,754.29,50.413,30.904,3.108,Carlsberg,800.0
DNK,Denmark,2020-04-07,4681,312,187,8,808.155,53.866,32.285,1.381,Carlsberg,792.0
DNK,Denmark,2020-04-08,5071,390,203,16,875.487,67.332,35.047,2.762,Carlsberg,792.799988
DNK,Denmark,2020-04-14,6318,144,285,12,1090.777,24.861,49.204,2.072,Carlsberg,792.0
DNK,Denmark,2020-04-15,6511,193,299,14,1124.097,33.321,51.621,2.417,Carlsberg,813.0
DNK,Denmark,2020-04-16,6681,170,309,10,1153.447,29.35,53.348,1.726,Carlsberg,816.799988
IRL,Ireland,2020-01-02,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,166.75
IRL,Ireland,2020-01-03,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,166.410004
IRL,Ireland,2020-01-06,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,167.720001
IRL,Ireland,2020-01-07,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,166.279999
IRL,Ireland,2020-01-08,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,168.5
IRL,Ireland,2020-01-09,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,169.850006
IRL,Ireland,2020-01-10,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,169.139999
IRL,Ireland,2020-01-13,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,167.929993
IRL,Ireland,2020-01-14,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,168.149994
IRL,Ireland,2020-01-15,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,170.300003
IRL,Ireland,2020-01-16,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,170.210007
IRL,Ireland,2020-01-17,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,170.699997
IRL,Ireland,2020-01-21,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,169.789993
IRL,Ireland,2020-01-22,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,168.979996
IRL,Ireland,2020-01-23,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,169.059998
IRL,Ireland,2020-01-24,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,169.190002
IRL,Ireland,2020-01-27,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,166.399994
IRL,Ireland,2020-01-28,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,162.949997
IRL,Ireland,2020-01-29,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,160.830002
IRL,Ireland,2020-01-30,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,158.399994
IRL,Ireland,2020-01-31,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,157.949997
IRL,Ireland,2020-02-03,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,160.320007
IRL,Ireland,2020-02-04,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,162.660004
IRL,Ireland,2020-02-05,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,163.279999
IRL,Ireland,2020-02-06,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,165.570007
IRL,Ireland,2020-02-07,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,163.190002
IRL,Ireland,2020-02-10,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,162.25
IRL,Ireland,2020-02-11,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,161.690002
IRL,Ireland,2020-02-12,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,160.360001
IRL,Ireland,2020-02-13,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,160.460007
IRL,Ireland,2020-02-14,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,160.860001
IRL,Ireland,2020-02-18,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,161.770004
IRL,Ireland,2020-02-19,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,162.279999
IRL,Ireland,2020-02-20,0,0,0,0,0.0,0.0,0.0,0.0,Guinness,161.429993
