Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,95.680000,95.980003,94.959999,95.820000,94.496239,382782
2020-01-03,95.260002,96.139999,95.220001,96.000000,94.673752,327670
2020-01-06,96.300003,97.660004,95.620003,97.519997,96.172745,666897
2020-01-07,97.900002,98.820000,97.480003,97.480003,96.133308,536847
2020-01-08,97.099998,98.480003,97.040001,98.040001,96.685570,579833
2020-01-09,98.480003,99.519997,98.400002,98.459999,97.099762,542027
2020-01-10,98.320000,98.839996,97.620003,97.980003,96.626396,371554
2020-01-13,98.099998,98.360001,97.440002,98.160004,96.803909,334987
2020-01-14,98.540001,99.260002,97.540001,99.000000,97.632301,633800
2020-01-15,99.000000,100.750000,98.860001,100.500000,99.111580,718757
2020-01-16,100.550003,101.699997,100.500000,101.400002,99.999153,651330
2020-01-17,101.550003,103.949997,101.550003,103.650002,102.218063,767247
2020-01-20,103.650002,103.849998,102.750000,102.800003,101.379807,516551
2020-01-21,100.900002,101.050003,97.940002,99.860001,98.480423,1043373
2020-01-22,100.300003,100.500000,99.779999,100.500000,99.111580,622707
2020-01-23,100.000000,100.550003,99.900002,99.940002,98.559319,484021
2020-01-24,99.459999,101.099998,99.440002,100.500000,99.111580,436495
2020-01-27,99.760002,99.760002,98.180000,98.400002,97.040596,534859
2020-01-28,98.620003,98.620003,97.139999,98.260002,96.902527,545840
2020-01-29,98.160004,99.180000,98.019997,99.019997,97.652023,398939
2020-01-30,98.639999,99.379997,98.419998,98.519997,97.158936,552278
2020-01-31,98.760002,98.860001,98.040001,98.320000,96.961700,499410
2020-02-03,97.839996,98.720001,97.459999,98.279999,96.922249,601227
2020-02-04,98.739998,99.180000,98.559998,98.779999,97.415344,674379
2020-02-05,98.639999,99.519997,98.400002,98.779999,97.415344,714906
2020-02-06,99.180000,99.199997,98.620003,99.080002,97.711205,666457
2020-02-07,99.099998,99.180000,97.339996,97.559998,96.212196,845717
2020-02-10,97.339996,98.000000,97.279999,97.400002,96.054413,599674
2020-02-11,97.500000,97.860001,96.680000,97.760002,96.409439,707986
2020-02-12,100.699997,104.550003,100.050003,102.849998,101.429115,1373417
2020-02-13,103.000000,104.449997,102.300003,102.800003,101.379807,735138
2020-02-14,103.099998,104.000000,102.500000,103.849998,102.415298,534570
2020-02-17,104.000000,104.349998,103.099998,103.400002,101.971519,480508
2020-02-18,102.900002,104.000000,102.849998,103.699997,102.267372,431663
2020-02-19,103.800003,105.000000,103.750000,104.949997,103.500099,445414
2020-02-20,104.300003,104.800003,104.000000,104.000000,102.563232,440401
2020-02-21,103.650002,104.099998,103.300003,103.849998,102.415298,558861
2020-02-24,101.750000,101.849998,99.620003,100.349998,98.963654,913642
2020-02-25,100.500000,100.750000,98.120003,98.400002,97.040596,574041
2020-02-26,98.000000,98.300003,95.459999,97.660004,96.310822,821662
2020-02-27,96.000000,96.239998,92.339996,93.300003,92.011055,1043187
2020-02-28,91.180000,91.180000,88.639999,90.220001,88.973602,1510632
2020-03-02,92.500000,92.820000,89.620003,91.059998,89.801994,1246692
2020-03-03,92.919998,93.160004,91.019997,91.540001,90.275368,1254485
2020-03-04,91.580002,93.480003,91.239998,92.779999,91.498230,862308
2020-03-05,93.580002,93.900002,91.519997,92.699997,91.419334,919918
2020-03-06,90.959999,91.559998,88.459999,89.699997,88.460785,1047629
2020-03-09,86.000000,86.879997,84.019997,84.379997,83.214279,1352689
2020-03-10,85.239998,86.400002,81.279999,81.320000,80.196556,1459218
2020-03-11,82.620003,83.199997,80.459999,80.739998,79.624565,1719453
2020-03-12,76.599998,77.080002,71.860001,73.260002,72.247910,2683406
2020-03-13,75.000000,79.500000,73.339996,76.180000,75.127563,2620193
2020-03-16,72.760002,75.980003,68.820000,75.019997,73.983589,3297979
2020-03-17,77.580002,78.000000,69.000000,74.519997,73.490494,1817743
2020-03-18,72.000000,74.360001,71.660004,72.620003,71.616753,1543260
2020-03-19,73.339996,75.440002,71.440002,74.839996,73.806076,1517341
2020-03-20,78.559998,79.320000,74.720001,75.019997,73.983589,1673459
2020-03-23,71.599998,74.739998,70.019997,70.919998,69.940231,1299498
2020-03-24,72.419998,74.400002,68.900002,71.440002,70.453049,1186204
2020-03-25,71.980003,74.300003,70.980003,73.000000,71.991501,1069129
2020-03-26,71.800003,73.940002,71.419998,73.940002,72.918510,1379941
2020-03-27,71.720001,73.339996,71.339996,72.139999,71.143379,1264429
2020-03-30,72.500000,73.339996,70.199997,73.019997,72.011215,1220757
2020-03-31,73.279999,76.160004,72.860001,76.160004,75.107841,1120587
2020-04-01,74.260002,74.620003,72.779999,73.419998,72.405693,818700
2020-04-02,73.139999,73.860001,71.680000,72.620003,71.616753,801020
2020-04-03,72.620003,72.800003,70.580002,70.779999,69.802162,1479039
2020-04-06,72.660004,73.519997,72.139999,72.699997,71.695641,1847290
2020-04-07,73.919998,75.019997,73.019997,73.599998,72.583206,897384
2020-04-08,73.099998,73.339996,71.459999,72.919998,71.912598,1086904
2020-04-09,73.320000,75.639999,73.180000,75.099998,74.062485,984103
2020-04-14,75.500000,75.980003,74.139999,74.879997,73.845520,770385
2020-04-15,75.019997,75.720001,74.120003,75.720001,74.673920,1131212
2020-04-16,76.099998,77.199997,75.120003,76.720001,75.660103,960462
